videoApperanceCount,videosDiggCountAvg,videosShareCountAvg,videosPlayCountAvg,videosCollectCountAvg,videosCommentCountAvg,videoDurationAvg,videosCaptionsCombinedText,combinedTextLanguage,authorMeta/digg,authorMeta/fans,authorMeta/following,authorMeta/friends,authorMeta/heart,authorMeta/id,authorMeta/name,authorMeta/nickName,authorMeta/signature,authorMeta/verified,authorMeta/video,authorMeta/profileUrl
1,18500.0,1538.0,996500.0,2483.0,145.0,136.0,เครื่องเดินวงรี หรือลู่วิ่ง อะไรลดได้่ดีกว่า #fitorfat #fitness #ลดไขมัน #ลดไขมันสร้างกล้ามเนื้อ #สร้างกล้ามเนื้อ #สร้างกล้ามเนื้อลดไขมัน #สร้างกล้ามท้อง #ออกกําลังกายที่บ้าน #ออกกําลังกาย #เทรนเนอร์ #เทรนออกกําลังกาย #เทรนเนอร์ส่วนตัว #เทรนออนไลน์ปั้นหุ่น #โปรตีน #โปรตีนสร้างกล้ามเนื้อ #โปรตีนลีนไขมันสร้างกล้ามเนื้อ #ลดพุง #ลดพุงเร่งด่วน #ลดหุ่น,th,2567,505200,168,0,12200000,6702589104172139522,fit_or_fat,FITorFAT,ติดต่อ รีวิว เทรนออนไลน์ Line@ : @fitorfat คลิก(กดเปิดค้าง แล้วกดเปิดลิ้งก์),False,1177,https://www.tiktok.com/@fit_or_fat
1,248400.0,11900.0,3100000.0,38800.0,496.0,42.0,ใครจะไปเดทต้องจดด่วนเลยนะแก #คู่มือเตรียมดัง #เจนิสเจณิสตา #เจนิส #น้ําหอม #tiktok,th,16,617300,4,0,22700000,7474414294287057937,projectkhondang,คู่มือเตรียมดัง,อย่าเป็นเลยดารา มันเหนื่อย เชื่อเจนสิ! @JANISTARRR @ข้างบ้านเจนบิวตี้ @Jane beauty.,False,194,https://www.tiktok.com/@projectkhondang
1,292400.0,10400.0,4300000.0,89700.0,1171.0,220.0,บอกหมดแล้วไปลองละมาแชร์กัน! . #ไม่มีไรทุกคนแค่อยากเล่าเฉยๆ #เจนิส #เจณิสตา #เทรนด์วันนี้ #น้ำหอม #รีวิวน้ำหอม #Tiktokป้ายยา #tiktokviral,th,2442,3400000,177,0,108200000,6804432432320136194,janistarrr,JANISTARRR,@คู่มือเตรียมดัง @Jane beauty. @ข้างบ้านเจนบิวตี้,False,770,https://www.tiktok.com/@janistarrr
2,7013.0,182.0,1188150.0,746.5,19.0,42.5,#อีฟป้ายยา รวมน้ำหอมออกเดทมัดใจแฟน มาดูกันวาามีตัวไหนบ้าง #eveandboy #รีวิวบิวตี้ #tiktokบิวตี้ #eveandboyworldoffragrance2025 #fyp มัดรวมน้ำหอมออกเดทรับวาเลนไทน์#eveandboy #รีวิวบิวตี้ #tiktokบิวตี้ #ป้ายยา #eveandboyworldoffragrance2024 #น้ำหอม #scentsofnewera #วาเลนไทน์,th,3386,678900,1,0,10500000,6529314423089545217,eveandboy,EVEANDBOY TH,No.1 Beauty Store in Thailand ดาวน์โหลดแอป EVEANDBOY คลิก,True,6352,https://www.tiktok.com/@eveandboy
3,15888.0,784.0,455166.6666666667,3784.0,94.66666666666667,106.0,น้ำหอมผู้หญิงกลิ่นเย้ายวน(แบบแพงๆ) #น้ําหอมผู้หญิง #รีวิวน้ําหอม #น้ำหอมออกเดท #น้ําหอมเที่ยวกลางคืน #น้ำหอมผู้ชายชอบ #รีวิวบิวตี้ในtiktok #perfumetok #คลาสแฟชั่น #น้ำหอมเซ็กซี่ #sipassione #sipassioneintense #เที่ยวกลางคืน #บาร์ลับ #ผับ #nightout #clubbing #fragrancetiktok #ArmaniBeautyThailand #ArmaniBeautyTH #WhatMakesYourHeartBeat 3 น้ำหอมกลิ่นติดทนหอมฟุ้งจนคนทักตลอด! ชมรีวิวฉบับเต็มได้ที่ Youtube: Scent of Byrd #รีวิวน้ําหอม #น้ําหอมติดทน #น้ำหอมหน้าหนาว #น้ําหอมniche #perfumetok #น้ําหอมผู้ชาย #น้ําหอมผู้หญิง #วิธีฉีดน้ําหอม #scentofbyrd #รีวิวบิวตี้ในtiktok #น้ำหอม #สอนแต่งตัวผู้ชาย #น้ําหอมเที่ยวกลางคืน #น้ําหอมคนทัก #วิธีฉีดน้ําหอมให้ติดนาน #เทคนิคดีบอกต่อ #คลาสแฟชั่น น้ำหอมลูกคุณหนูทำงานเก่ง #น้ำหอม #perfumetiktok #perfumetok #tiktokป้ายยา #perfume #น้ำหอมผู้หญิง #น้ำหอมผู้ชาย #รีวิวน้ำหอม #รีวิวบิวตี้ #queenoftears #leaudissey #isseymiyake #รีวิวกระเป๋าแบรนด์เนม #เครื่องสําอาง #รีวิวแบรนด์เนม #scentofbyrd #คลาสแฟชั่น,th,34,281200,109,0,4500000,6999119578999735323,scentofbyrd_official,Scent of Byrd,Fragrance & Scent More VDOs -> YouTube: Scent of Byrd IG: scent.of.byrd,False,109,https://www.tiktok.com/@scentofbyrd_official
2,7885.0,262.5,831750.0,1435.0,82.5,68.0,"ใครอยากได้น้ำหอมกลิ่นหอมหวานผู้หลงแบบโงหัวไม่ขึ้น ต้อง 𝐘𝐒𝐋 𝐁𝐥𝐚𝐜𝐤 𝐎𝐩𝐢𝐮𝐦 𝐄𝐃𝐏 𝐎𝐯𝐞𝐫 𝐑𝐞𝐝 ขวดนี้โคตรฮ่งโคตรหอม กลิ่นหอมหวาน มีความ Faminine มากๆ ฉีดแล้วดูเป็นผู้หญิงมีเทส ทำถึงมากคุณแม่ ️ กลิ่นปังไม่ปังเธอดูโน๊ตน้ำหอมตัวนี้นะ - Top notes: cherry, green mandarin - Heart: Moroccan Ourika jasmine, orange blossom absolute, black tea - Base: coffee, Indonesian patchouli, Madagascar vanilla พิกัด หาซื้อได้ที่ @Sephora Thailand ทุกสาขา #perfume #น้ําหอม #รีวิวน้ําหอม #tiktoklooks #น้ําหอมผู้หญิง ใครยังไม่เคยใช้ La Mer อยากให้ลองน้ำตบตัวนี้มาก ของเค้าคือดีจริง ผิวดี รูขุมขนกระชับขึ้นแบบผิวเด็กเลยเธอ ช้อปน้ำตบ 150ml ได้รับ limited edition set แบบนี้ไปเลยทั้งกล่อง ช้อปได้ทั้งหน้าเว็บไซต์ ใส่โค้ด “LMTIKTOK” หรือจะไปช้อปที่เคาน์เตอร์ก็ได้ เเค่เอาคลิปนี้ไปโชว์จ้ะ วางขายแค่ 5 สาขานี้เท่านั้น Siam Paragon, Central Ladprao, Emporium, Central World, Central @Megabangna *เฉพาะลูกค้าใหม่เท่านั้น 1 - 31 July 2024 only น้า #skincare #tiktokป้ายยา #tiktokบิวตี้ #รีว���วบิวตี้ #สกินแคร์ #น้ำตบ #เตรียมผิว #LaMer #LaMerTreatmentLotion #LaMerThailand #EssenceOfYouth",th,157600,237400,6786,0,6200000,6566951153342791681,katrinyaphat,Katrin ติดแกลม ✨,พี่สาวพลังบวก Mindset Self-love 🩷 ติดต่องานแอด @katrinyaphat,False,1455,https://www.tiktok.com/@katrinyaphat
1,357.0,38.0,33600.0,97.0,4.0,27.0,Raspberry and Peony Petals จาก scent studio หวานซ่อนเปรี้ยว หอมอ่อนๆจากดอกไม้ขาว สดชื่นละมุน ดูแพงแต่เข้าถึงได้ #รีวิวนํ้าหอม #น้ำหอมแบ่งขาย #scentstudio,th,5468,15800,404,0,233700,7092634574702380058,kruenghom,เครื่องหอม,ออกแบบกลิ่นตามคาแรกเตอร์เฉพาะตัว แอดไอดี @045inwpj,False,81,https://www.tiktok.com/@kruenghom
1,38800.0,1325.0,4800000.0,4345.0,170.0,24.0,โครตจะหอม โครตจะหลง! หอมฟุ้งหอมไกล ใครที่ชอบน้ำหอมหวานแต่ไม่ฉุนไม่เลี่ยน ที่สำคัญกลิ่นทันสมัย kiss memore เลยค่ะ #น้ําหอมอิงฟ้า #น้ำหอมแจนยัวร์ #kissmemore #JANUA,th,16300,669100,242,0,23900000,6803259279887778818,ceo.januathailand,Janua Perfume Thailand.,JANUAXRENJUN WELCOME OUR NEW PRESENTER TO JANUA FAMILY,False,1475,https://www.tiktok.com/@ceo.januathailand
1,6222.0,354.0,580400.0,2693.0,56.0,42.0,น้ำหอมแจนยัวร์ขวดแดง กลิ่นนี้เท่านั้น️ ฉีดแล้วกลายเป็นคนสวยขาา ถึงขั้นว่าทำผู้เสียอาการ! หอมสวยเหมือนลอยได้ เหมาะกับการฉีดไปเดตแบบที่สุด! #น้ําหอมแจนยัวร์ #น้ำหอมแจนยัวร์คอลใหม่ #รีวิวน้ําหอม #tiktokshopช้อปกันวันเงินออก,th,1425,27000,32,0,1200000,6941190745949848577,fatcatgroupsofficial,fat cat groups,"*รีวิว1-2ดาว ไม่รับเคลมทุกกรณี ดูดคลิปปรับ 50,000 รับพันธมิตรปักตะกร้าได้เลย",False,419,https://www.tiktok.com/@fatcatgroupsofficial
1,170.0,11.0,11200.0,24.0,3.0,72.0,Bonwon - British Pear And Freesia กับกลิ่นที่ทำออกมาได้ดีมาก ลูกแพรเต็มๆ ใช้ออกเดทเต็มเปรี่ยมไปด้วยพลัง กับกลิ่นที่ธรรมชาติสุดๆ หากสนใจ ตะกร้ามี #reviewbeauty #fypageシ #storytelling #funnyvideo #funnyvideos #fypage #fragrance #น้ําหอมผู้หญิง #น้ําหอมแท้ #น้ําหอมผู้ชาย #รีวิวน้ําหอมผู้ชาย #รีวิวน้ําหอมขายดีในtiktok #funny #perfumetiktok #ตลก #perfume #fyp,th,8045,302000,6363,0,7700000,6847813106626823170,.plankton2go,เฮียเป๊ก เช็ดเข้,ติดต่อรีวิวหรือนายหน้า ID: herepek ถ้า ตต ตอบช้าถามในนี้ได้ ID: @beauty4hub,False,1745,https://www.tiktok.com/@.plankton2go
3,266.6666666666667,11.0,19880.666666666668,15.333333333333334,12.666666666666666,19.666666666666668,ฉีดไปเดตคือได้ฟีลคุณหนูสายหวานที่แอบซนหน่อยๆ Viva La Juicy Gold #น้ำหอมแบ่งขาย #น้ำหอมผู้หญิง #รีวิวน้ำหอม แกะกล่องน้ำหอมใหม่ CK ONE #รีวิวน้ำหอม #น้ําหอมผู้หญิง #กันรีวิวน้ำหอม น้ำหอมกลิ่นครีมมี่สตอร์เบอร์รี่ หอมนัวมาก ลุคคุณหนูค่า #รีวิวน้ำหอม #น้ำหอมแบ่งขาย #น้ำหอมผู้หญิง,th,465,4172,59,0,33000,6757210292797899777,toperfumeshop,กันจะรีวิวน้ำหอม,รีวิวน้ำหอมของแท้ สนใจทักบ้านเขียว : @toperfumeshop (มี @ นำหน้าด้วย),False,296,https://www.tiktok.com/@toperfumeshop
1,918.0,54.0,39500.0,247.0,25.0,225.0,วิธีมาร์กหน้าให้ผิวสวยติดสปีดค้าบบ️#มาส์กหน้า #skincare #glassskin #สกินแคร์ #ดูแลตัวเอง,th,79,2344,61,0,13000,6978374651492697089,pm_odella,พี่เอ็มว่ามันดี,พี่เอ็มอยากชวนพวกเราให้กลับมารักตัวเอง กลับมาดูแลตัวเอง ดูแลทั้งกายและใจเลยจ๊ะ,False,44,https://www.tiktok.com/@pm_odella
2,110650.0,6171.5,2700000.0,49400.0,305.0,17.0,ลำดับการลงสกินแคร์ในตอนเช้า Cr.หมออ้น Dr.Chatpon #skincareroutine #สกินแคร์รูทีน #ขั้นตอนบํารุงผิวหน้า #วิธีทาครีมที่ถูกต้อง #วิธีดูแลผิวหน้า ลำดับการลงสกินแคร์ตอนกลางคืน Cr.หมออ้น Dr.Chatpon #skincareroutine #สกินแคร์รูทีน #ขั้นตอนบํารุงผิวหน้า #วิธีทาครีมที่ถูกต้อง #วิธีดูแลผิวหน้า #ขั้นตอนการทาครีมกลางคืน,th,532,7363,232,0,307800,7248214502277268485,julee42896395,พี่จูลี่รีวิวบิวตี้ของดีบอกต่อ,,False,88,https://www.tiktok.com/@julee42896395
1,5996.0,115.0,73100.0,1398.0,19.0,58.0,เริ่มต้นดูแลผิวยังไง ฉบับมือใหม่ . . #ดูแลผิวหน้า #เริ่มดูแลตัวเอง #beautyhacks #howtobeauty #tips,th,8567,73300,450,0,2500000,7195932788913685531,lalynstyle,Lalyn Style (ลลิล),"decoding trends, beauty, and fashion through psychology, status, and economy.",False,274,https://www.tiktok.com/@lalynstyle
1,535100.0,21700.0,6300000.0,136700.0,766.0,60.0,แอบดูคลิป14ล้านวิวรักษาสิวหายเองใน 6เดือน @justin #มะเหมี่ยวปันสวย #รู้จากtiktok #tiktokuni #cleansingoil #ครีมบีเอชเอ #theaskinดูแลสิว #theaskinbeauty #รักษาสิวเอง #วิธีรักษาสิว #ครีมรักษาสิว #สิวอักเสบ #สิวอุดตัน #สิวฮอร์โมน,th,7913,487700,886,0,9100000,6760482070102262785,newmameaw,มะเหมี่ยวปันสวย,มะเหมี่ยวปันสวย| Skincare เทีย-สกิน,False,394,https://www.tiktok.com/@newmameaw
1,12500.0,1079.0,230400.0,5872.0,360.0,160.0,ตอบกลับ @pkin. รักษาสิวตามนี้ เค้าหายกันมาเยอะแล้วน้า // ขอบคุณรีวิวนะค้า เป็นกำลังใจที่ดีมากๆค่า #สิว #สิวอุดตัน #สิวอักเสบ #สิวอักเสบเรื้อรัง #สิวหาย #รักษาสิว #รักษาสิวด้วยตัวเอง #นกกี้,th,6766,76000,7,0,1000000,6567814955956486146,nokkie148cm,นกกี้ 148cm,"@CELENA Clinic : สุขุมวิท26,ราชพฤกษ์ @Aesthera Lab : โรงงาน OEM สกินแคร์ @Regagar : ผลิตภัณฑ์ดูแลผิวเด็ก",False,509,https://www.tiktok.com/@nokkie148cm
1,23100.0,1053.0,479700.0,4039.0,240.0,86.0,ควรมาส์กหน้าก่อน หรือ หลังทาสกินแคร์… พี่ฝุ่งจะมาไขคำตอบให้ครับ #พี่ฝุ่งสอนดูแลผิว #สกินแคร์ #บํารุงผิว #มาส์กหน้า #fyp,th,5611,827800,65,0,9000000,7244809969257432069,foong.creamguy,พี่ฝุ่ง สอนดูแลผิว,"พี่ฝุ่ง นักวิจัย&CEO AMT Skincare ""ผิวสวย สุขภาพดี"" ทำยังไง? ช่องนี้มีคำตอบ",False,263,https://www.tiktok.com/@foong.creamguy
4,19848.5,2495.75,510925.0,9587.25,109.25,78.75,เปืดกล่อง The hisoty of Whoo Hwanyu Imperia #รีวิวครีมแพง #ครีมไม่แพงไม่มีแรงทา #รีวิวบิวตี้ #รีวิวบิวตี่ในtiktok #tiktoklongs รวม 10 เซรั่มฟื้นผิวหมอง #รีวิวบิวตี้ #ครีมไม่แพงไม่มีแรงทา #รีวิวครีมแพง 10 คุชชั่นใช้ดี #รีวิวบิวตี้ #รีวิวครีมแพง #ครีมไม่แพงไม่มีแรงทา #รีวิวบิวตี้ในtiktok น้ำหอม 10 กลิ่นที่ผู้หญิงต้องมี #รีวิวบิวตี้ #รีวิวครีมแพง #ครีมไม่แพงไม่มีแรงทา,th,3467,228100,248,0,5100000,6805633544460649474,pmbeautyguide,รีวิวครีมแพง,,False,758,https://www.tiktok.com/@pmbeautyguide
2,1715.0,11.5,92535.0,19.0,2.0,64.5,Unbox แกะกล่อง Special Box Set ที่ทางแบรนด์ Clinique ส่งมาให้ในเดือนเกิดพอดีเลย จะเป็นอะไรมาลุ้นไปด้วยกันค่ะ #รีวิวบิวตี้ #เรื่องผิว #แกะกล่องกัน #ของขวัญ รวมดาวเซรั่มผิวใสที่ใช้แล้วเลิฟแบบถูกยันแพง ตัวไหนเริ่ดสุดมาดูกัน #รีวิวบิวตี้ #เรื่องผิว #รีวิวสกินแคร์ #รอยสิว #เซรั่มลดรอย #AdvanceSerum #เซรั่มโดสสูง #Tiktokป้ายยา,th,7701,27200,402,0,1000000,6897613548248499201,lan7is,🌈Lantis⛅️✨,𝒔𝒆𝒘𝒊𝒏𝒈 • 𝒃𝒆𝒂𝒖𝒕𝒚 𝒓𝒆𝒗𝒊𝒆𝒘 ig: lan7is / preppy.pear work: dm ig,False,1107,https://www.tiktok.com/@lan7is
1,1486.0,45.0,62500.0,67.0,30.0,89.0,Unboxing ทุกวี่ทุกวัน #โมมนชนก #unboxing #รีวิวบิวตี้ #ดิเอลฟ์ #TheElf #BoxSetดิเอลฟ์,th,1774,829200,142,0,30700000,17771146,momonhappygirl,Momonchanok,Monchanok S. ‘Be the best version of yours’ Line ID: tee.hubsub (ติดต่องาน),False,1508,https://www.tiktok.com/@momonhappygirl
1,85.0,0.0,978.0,4.0,6.0,188.0,Skincare ที่คุ้มค่าการลงทุน ส่วนตัวชอบลองของแถมมากกกก #clarinsitalia #clarins #clarinsskincare #สกินแคร์ดูแลผิว,th,5860,5801,2389,0,117800,6834823104897975298,valentina.nan,นางสาวThailandeseในItaly,แชร์เรื่องใดๆที่อิตาลี กลับไทยก็แชร์เรื่องไทย แชร์ภาษาอิตาเลียนง่ายๆเพื่อความบันเทิง,False,708,https://www.tiktok.com/@valentina.nan
